Date,Close,Open,High,Low,Vol.,Change %
19-09-2025,3.47,3.43,3.47,3.42,347.34M,0.0146
18-09-2025,3.42,3.42,3.47,3.42,46.80M,0
17-09-2025,3.42,3.43,3.46,3.42,29.74M,0
16-09-2025,3.42,3.37,3.44,3.36,64.08M,0.0148
15-09-2025,3.37,3.39,3.4,3.37,12.43M,-0.0059
12-09-2025,3.39,3.38,3.4,3.37,29.62M,0.0089
11-09-2025,3.36,3.36,3.39,3.34,24.77M,0
10-09-2025,3.36,3.36,3.37,3.34,14.89M,0
09-09-2025,3.36,3.37,3.38,3.36,22.28M,-0.003
08-09-2025,3.37,3.32,3.39,3.3,48.36M,0.0181
04-09-2025,3.31,3.32,3.34,3.31,18.37M,-0.003
03-09-2025,3.32,3.35,3.36,3.32,28.25M,-0.009
02-09-2025,3.35,3.33,3.35,3.32,30.76M,0.009
01-09-2025,3.32,3.33,3.36,3.31,18.40M,-0.003
29-08-2025,3.33,3.36,3.38,3.33,19.98M,-0.0089
28-08-2025,3.36,3.38,3.39,3.36,14.52M,-0.0059
27-08-2025,3.38,3.4,3.41,3.38,15.31M,-0.0059
26-08-2025,3.4,3.4,3.41,3.37,70.53M,0
25-08-2025,3.4,3.38,3.41,3.37,24.58M,0.0089
22-08-2025,3.37,3.37,3.38,3.35,12.10M,0
21-08-2025,3.37,3.36,3.37,3.35,10.60M,0.003
20-08-2025,3.36,3.36,3.37,3.35,15.15M,0
19-08-2025,3.36,3.37,3.39,3.36,21.38M,-0.003
18-08-2025,3.37,3.35,3.37,3.35,15.57M,0.003
15-08-2025,3.36,3.36,3.36,3.34,19.69M,0.003
14-08-2025,3.35,3.33,3.35,3.33,28.47M,-0.0147
13-08-2025,3.4,3.4,3.42,3.38,54.33M,0.0029
12-08-2025,3.39,3.38,3.4,3.37,57.44M,0.0059
11-08-2025,3.37,3.37,3.38,3.35,21.33M,0.003
08-08-2025,3.36,3.35,3.37,3.34,17.96M,0.003
07-08-2025,3.35,3.35,3.37,3.34,29.88M,0
06-08-2025,3.35,3.33,3.36,3.33,51.71M,0.0152
05-08-2025,3.3,3.31,3.32,3.28,18.68M,0
04-08-2025,3.3,3.32,3.33,3.3,14.45M,-0.006
01-08-2025,3.32,3.33,3.34,3.3,18.32M,-0.003
31-07-2025,3.33,3.32,3.34,3.3,17.40M,0
30-07-2025,3.33,3.3,3.34,3.29,18.23M,0.0122
29-07-2025,3.29,3.33,3.34,3.29,16.05M,-0.012
28-07-2025,3.33,3.27,3.33,3.25,67.36M,0.0183
25-07-2025,3.27,3.29,3.3,3.26,15.77M,-0.003
24-07-2025,3.28,3.31,3.33,3.28,23.31M,-0.0091
23-07-2025,3.31,3.27,3.31,3.27,40.43M,0.0153
22-07-2025,3.26,3.23,3.26,3.21,38.95M,0.0124
21-07-2025,3.22,3.3,3.3,3.22,44.64M,-0.0242
18-07-2025,3.3,3.32,3.32,3.29,24.36M,-0.003
17-07-2025,3.31,3.34,3.36,3.31,29.61M,-0.006
16-07-2025,3.33,3.33,3.35,3.32,27.41M,0
15-07-2025,3.33,3.36,3.37,3.33,27.93M,-0.0089
14-07-2025,3.36,3.38,3.38,3.35,18.22M,-0.0059
11-07-2025,3.38,3.38,3.39,3.37,16.18M,0
10-07-2025,3.38,3.37,3.39,3.36,15.77M,-0.0029
09-07-2025,3.39,3.39,3.39,3.36,37.52M,0
08-07-2025,3.39,3.39,3.41,3.37,20.01M,0
07-07-2025,3.39,3.4,3.42,3.39,15.72M,-0.0029
04-07-2025,3.4,3.41,3.42,3.39,12.65M,-0.0029
03-07-2025,3.41,3.42,3.42,3.39,25.14M,0
02-07-2025,3.41,3.42,3.43,3.4,14.77M,-0.0029
01-07-2025,3.42,3.44,3.44,3.4,24.09M,0
30-06-2025,3.42,3.4,3.46,3.4,30.56M,0.0029
26-06-2025,3.41,3.39,3.42,3.37,36.37M,0.0059
25-06-2025,3.39,3.36,3.39,3.35,26.93M,0.0059
24-06-2025,3.37,3.36,3.39,3.34,49.60M,0.012
23-06-2025,3.33,3.3,3.34,3.27,21.52M,0.006
20-06-2025,3.31,3.23,3.32,3.23,28.27M,0.0248
19-06-2025,3.23,3.32,3.32,3.22,31.62M,-0.0271
18-06-2025,3.32,3.34,3.35,3.3,24.46M,-0.006
17-06-2025,3.34,3.39,3.4,3.33,30.01M,-0.0147
16-06-2025,3.39,3.37,3.42,3.36,45.43M,0.0119
13-06-2025,3.35,3.29,3.35,3.25,74.47M,-0.0118
12-06-2025,3.39,3.36,3.39,3.3,70.86M,0.003
11-06-2025,3.38,3.35,3.4,3.35,64.35M,0.012
10-06-2025,3.34,3.31,3.34,3.31,44.30M,0.0121
09-06-2025,3.3,3.29,3.3,3.27,24.64M,0.003
04-06-2025,3.29,3.27,3.29,3.24,28.94M,0.0092
03-06-2025,3.26,3.24,3.26,3.22,30.12M,0.0062
02-06-2025,3.24,3.25,3.26,3.22,30.13M,-0.0122
30-05-2025,3.28,3.27,3.28,3.2,596.13M,0.0061
29-05-2025,3.26,3.29,3.3,3.23,60.47M,-0.0091
28-05-2025,3.29,3.23,3.3,3.22,65.30M,0.0217
27-05-2025,3.22,3.24,3.25,3.21,29.03M,0
26-05-2025,3.22,3.22,3.25,3.21,24.80M,0
23-05-2025,3.22,3.23,3.24,3.2,30.42M,-0.0031
22-05-2025,3.23,3.25,3.25,3.22,26.11M,-0.0062
21-05-2025,3.25,3.29,3.3,3.24,52.12M,-0.0091
20-05-2025,3.28,3.31,3.32,3.27,42.50M,-0.0091
19-05-2025,3.31,3.34,3.35,3.3,41.52M,-0.006
16-05-2025,3.33,3.32,3.35,3.31,43.65M,0.003
15-05-2025,3.32,3.27,3.33,3.26,65.30M,0.0184
14-05-2025,3.26,3.28,3.3,3.26,37.23M,-0.0031
13-05-2025,3.27,3.26,3.28,3.25,40.21M,0.0031
12-05-2025,3.26,3.25,3.27,3.23,29.75M,0.0062
09-05-2025,3.24,3.24,3.27,3.22,30.82M,0.0031
08-05-2025,3.23,3.26,3.28,3.23,24.18M,-0.0092
07-05-2025,3.26,3.27,3.28,3.25,39.49M,-0.0031
06-05-2025,3.27,3.21,3.31,3.21,56.16M,0.0219
05-05-2025,3.2,3.17,3.22,3.17,31.98M,0.0095
02-05-2025,3.17,3.15,3.18,3.15,16.53M,0.0063
01-05-2025,3.15,3.17,3.17,3.14,22.59M,-0.0063
30-04-2025,3.17,3.18,3.19,3.13,37.16M,0
29-04-2025,3.17,3.19,3.21,3.17,25.51M,-0.0031
28-04-2025,3.18,3.18,3.22,3.17,42.37M,0.0032
25-04-2025,3.17,3.13,3.18,3.12,43.32M,0.0193
24-04-2025,3.11,3.12,3.19,3.11,55.51M,-0.0032
23-04-2025,3.12,3.12,3.13,3.09,30.43M,0.0065
