Date,Close,Open,High,Low,Vol.,Change %
19-09-2025,14.48,14.8,15.04,14.48,13.63M,-0.0216
18-09-2025,14.8,14.34,14.84,14.3,6.23M,0.0321
17-09-2025,14.34,14.78,14.78,14.34,5.16M,-0.0298
16-09-2025,14.78,15,15.2,14.7,7.03M,-0.0134
15-09-2025,14.98,14.46,15.04,14.42,8.07M,0.0403
12-09-2025,14.4,13.96,14.44,13.96,9.06M,0.0345
11-09-2025,13.92,13.64,13.98,13.64,9.69M,0.0235
10-09-2025,13.6,13.56,13.78,13.48,7.67M,0.0074
09-09-2025,13.5,13.66,13.98,13.48,12.42M,-0.0117
08-09-2025,13.66,14.7,14.7,13.6,10.79M,-0.0745
04-09-2025,14.76,14.96,14.96,14.7,2.81M,-0.0094
03-09-2025,14.9,14.88,15.2,14.84,2.88M,0.0013
02-09-2025,14.88,14.9,14.9,14.6,3.52M,0.0095
01-09-2025,14.74,15.16,15.16,14.54,3.71M,-0.0264
29-08-2025,15.14,15.06,15.34,15.02,2.88M,0.008
28-08-2025,15.02,15.5,15.58,15.02,3.01M,-0.031
27-08-2025,15.5,15.58,15.62,15.4,1.78M,-0.0013
26-08-2025,15.52,15.56,15.66,15.46,10.54M,-0.0013
25-08-2025,15.54,15.68,15.72,15.52,1.49M,-0.0077
22-08-2025,15.66,15.94,15.96,15.6,1.34M,-0.0176
21-08-2025,15.94,15.84,16.06,15.8,6.21M,0.0089
20-08-2025,15.8,15.52,15.92,15.52,3.85M,0.0194
19-08-2025,15.5,15.72,15.76,15.32,3.76M,-0.014
18-08-2025,15.72,15.52,15.76,15.52,2.59M,0.0129
15-08-2025,15.52,15.86,15.86,15.5,2.61M,-0.0214
14-08-2025,15.86,15.92,16.14,15.86,5.12M,-0.0038
13-08-2025,15.92,15.98,15.98,15.8,7.02M,-0.005
12-08-2025,16,15.9,16.04,15.9,4.61M,0.0063
11-08-2025,15.9,15.84,16.04,15.78,3.82M,0.0063
08-08-2025,15.8,15.56,16.16,15.56,5.67M,0.0154
07-08-2025,15.56,15.6,15.76,15.56,2.06M,-0.0026
06-08-2025,15.6,15.78,15.78,15.52,4.28M,-0.0038
05-08-2025,15.66,15.72,16.08,15.66,3.72M,0.0026
04-08-2025,15.62,15.74,15.76,15.54,1.74M,-0.0064
01-08-2025,15.72,16.28,16.28,15.54,4.00M,-0.0344
31-07-2025,16.28,16.24,16.36,16.1,2.72M,0.0025
30-07-2025,16.24,16.42,16.42,16.02,2.29M,-0.011
29-07-2025,16.42,16.24,16.42,16,3.94M,0.0136
28-07-2025,16.2,16.26,16.6,16,5.02M,0
25-07-2025,16.2,15.7,16.24,15.62,4.81M,0.0332
24-07-2025,15.68,15.3,15.68,15.22,6.26M,0.0248
23-07-2025,15.3,15.4,15.62,15.24,5.07M,0
22-07-2025,15.3,15.3,15.3,15,4.94M,0
21-07-2025,15.3,15.36,15.36,15.18,3.67M,-0.0039
18-07-2025,15.36,15.48,15.62,15.32,4.04M,-0.0078
17-07-2025,15.48,15.54,15.58,15.28,5.21M,-0.0039
