Date,Close,Open,High,Low,Vol.,Change %
19-09-2025,3.49,3.47,3.49,3.47,5.48M,0.0058
18-09-2025,3.47,3.48,3.49,3.47,293.70K,0
17-09-2025,3.47,3.47,3.49,3.33,4.25M,-0.0029
16-09-2025,3.48,3.48,3.49,3.47,1.26M,-0.0029
15-09-2025,3.49,3.47,3.49,3.46,1.36M,0.0029
12-09-2025,3.48,3.48,3.48,3.47,425.35K,0
11-09-2025,3.48,3.47,3.49,3.45,2.70M,0.0029
10-09-2025,3.47,3.46,3.47,3.44,1.34M,0
09-09-2025,3.47,3.45,3.47,3.44,340.19K,0
08-09-2025,3.47,3.46,3.47,3.44,997.31K,0
04-09-2025,3.47,3.47,3.49,3.44,3.45M,0
03-09-2025,3.47,3.43,3.48,3.42,4.90M,0.0206
02-09-2025,3.4,3.35,3.43,3.35,3.83M,0.0119
01-09-2025,3.36,3.35,3.36,3.34,388.67K,0.003
29-08-2025,3.35,3.34,3.35,3.33,609.30K,0
28-08-2025,3.35,3.34,3.35,3.34,485.06K,0.003
27-08-2025,3.34,3.35,3.35,3.33,389.54K,0.003
26-08-2025,3.33,3.35,3.36,3.33,1.71M,0
25-08-2025,3.33,3.35,3.37,3.33,1.31M,-0.006
22-08-2025,3.35,3.34,3.35,3.33,1.36M,0
21-08-2025,3.35,3.32,3.35,3.32,460.41K,0.009
20-08-2025,3.32,3.34,3.34,3.32,303.10K,-0.006
19-08-2025,3.34,3.34,3.34,3.32,672.40K,0.006
18-08-2025,3.32,3.34,3.35,3.32,792.18K,-0.003
15-08-2025,3.33,3.34,3.35,3.33,157.68K,-0.003
14-08-2025,3.34,3.34,3.35,3.33,654.31K,-0.003
13-08-2025,3.35,3.37,3.37,3.34,342.40K,0
12-08-2025,3.35,3.36,3.4,3.35,2.97M,-0.003
11-08-2025,3.36,3.34,3.36,3.33,1.48M,0.006
08-08-2025,3.34,3.34,3.35,3.34,261.53K,0.003
07-08-2025,3.33,3.36,3.36,3.33,2.14M,-0.006
06-08-2025,3.35,3.35,3.37,3.35,165.39K,0
05-08-2025,3.35,3.35,3.36,3.35,246.89K,0
04-08-2025,3.35,3.36,3.36,3.34,740.53K,0
01-08-2025,3.35,3.36,3.36,3.34,917.14K,0
31-07-2025,3.35,3.36,3.37,3.34,3.06M,-0.003
30-07-2025,3.36,3.35,3.36,3.35,797.29K,0.003
29-07-2025,3.35,3.36,3.36,3.34,661.37K,0
28-07-2025,3.35,3.36,3.36,3.32,1.62M,0
25-07-2025,3.35,3.34,3.35,3.33,281.31K,0.003
24-07-2025,3.34,3.34,3.35,3.33,1.25M,0
23-07-2025,3.34,3.32,3.36,3.28,4.11M,0.0121
22-07-2025,3.3,3.34,3.34,3.3,1.35M,-0.006
21-07-2025,3.32,3.34,3.36,3.32,467.74K,-0.006
18-07-2025,3.34,3.34,3.37,3.33,1.88M,0.006
17-07-2025,3.32,3.34,3.35,3.32,1.06M,-0.003
16-07-2025,3.33,3.35,3.36,3.32,1.84M,-0.0089
15-07-2025,3.36,3.34,3.36,3.34,615.46K,0.006
14-07-2025,3.34,3.36,3.36,3.32,948.97K,0
11-07-2025,3.34,3.35,3.36,3.33,982.74K,-0.003
10-07-2025,3.35,3.37,3.38,3.35,1.61M,-0.0059
09-07-2025,3.37,3.35,3.38,3.34,681.79K,0.006
08-07-2025,3.35,3.33,3.4,3.31,2.90M,0
07-07-2025,3.35,3.33,3.35,3.31,478.34K,0.006
04-07-2025,3.33,3.31,3.35,3.31,2.65M,0.006
03-07-2025,3.31,3.27,3.33,3.25,2.66M,0.0091
02-07-2025,3.28,3.4,3.4,3.28,6.73M,-0.0324
01-07-2025,3.39,3.46,3.46,3.35,4.59M,-0.0342
30-06-2025,3.51,3.58,3.58,3.51,141.70M,-0.0168
26-06-2025,3.57,3.51,3.6,3.51,20.30M,0.0142
25-06-2025,3.52,3.52,3.52,3.5,8.41M,0.0028
24-06-2025,3.51,3.5,3.54,3.47,18.14M,0.0086
23-06-2025,3.48,3.41,3.54,3.41,14.50M,0.0265
20-06-2025,3.39,3.34,3.41,3.34,2.34M,0.0119
19-06-2025,3.35,3.32,3.35,3.29,2.26M,0.0121
18-06-2025,3.31,3.35,3.35,3.3,1.67M,-0.0119
17-06-2025,3.35,3.38,3.39,3.34,2.00M,-0.0089
16-06-2025,3.38,3.35,3.38,3.35,1.04M,0.003
13-06-2025,3.37,3.29,3.39,3.25,7.42M,-0.003
12-06-2025,3.38,3.39,3.39,3.35,3.48M,-0.0059
11-06-2025,3.4,3.41,3.43,3.36,8.25M,-0.0029
10-06-2025,3.41,3.35,3.42,3.33,11.92M,0.0179
09-06-2025,3.35,3.29,3.36,3.29,4.40M,0.0182
04-06-2025,3.29,3.25,3.3,3.25,1.38M,0.0123
03-06-2025,3.25,3.28,3.29,3.25,2.22M,-0.0091
02-06-2025,3.28,3.29,3.32,3.27,1.92M,-0.003
30-05-2025,3.29,3.31,3.32,3.29,1.93M,-0.006
29-05-2025,3.31,3.23,3.32,3.23,6.23M,0.0185
28-05-2025,3.25,3.25,3.27,3.24,3.68M,0
27-05-2025,3.25,3.24,3.25,3.2,3.41M,0.0062
26-05-2025,3.23,3.17,3.31,3.17,10.66M,0.0189
23-05-2025,3.17,3.15,3.17,3.15,882.06K,0.0032
22-05-2025,3.16,3.15,3.16,3.14,631.26K,0.0064
21-05-2025,3.14,3.16,3.16,3.14,810.36K,-0.0063
20-05-2025,3.16,3.15,3.17,3.14,3.54M,0.0064
19-05-2025,3.14,3.15,3.15,3.13,842.49K,0
16-05-2025,3.14,3.14,3.15,3.13,365.94K,0.0032
15-05-2025,3.13,3.14,3.16,3.13,1.28M,-0.0032
14-05-2025,3.14,3.15,3.17,3.14,1.58M,-0.0032
13-05-2025,3.15,3.16,3.17,3.14,1.05M,-0.0032
12-05-2025,3.16,3.14,3.16,3.13,835.44K,0.0064
09-05-2025,3.14,3.15,3.16,3.14,689.33K,0
08-05-2025,3.14,3.14,3.16,3.13,840.35K,0.0064
07-05-2025,3.12,3.15,3.15,3.11,1.17M,-0.0064
06-05-2025,3.14,3.14,3.16,3.14,3.11M,-0.0032
05-05-2025,3.15,3.15,3.18,3.13,1.04M,0
02-05-2025,3.15,3.15,3.16,3.13,1.10M,0
01-05-2025,3.15,3.16,3.16,3.14,293.70K,-0.0063
30-04-2025,3.17,3.17,3.18,3.14,1.19M,0.0032
29-04-2025,3.16,3.14,3.18,3.13,1.09M,0.0096
28-04-2025,3.13,3.15,3.16,3.1,5.15M,-0.0095
25-04-2025,3.16,3.2,3.2,3.12,1.94M,-0.0125
24-04-2025,3.2,3.15,3.2,3.13,2.91M,0.0159
23-04-2025,3.15,3.17,3.17,3.13,926.31K,-0.0063
22-04-2025,3.17,3.17,3.17,3.15,2.62M,0.0063
21-04-2025,3.15,3.15,3.16,3.14,2.21M,0
18-04-2025,3.15,3.16,3.16,3.14,982.46K,0
17-04-2025,3.15,3.15,3.19,3.13,6.87M,0.0064
16-04-2025,3.13,3.12,3.16,3.12,116.66K,-0.0032
15-04-2025,3.14,3.13,3.16,3.12,1.93M,0.0032
14-04-2025,3.13,3.12,3.15,3.1,1.29M,0.0097
11-04-2025,3.1,3.11,3.11,3.1,1.28M,-0.0064
10-04-2025,3.12,3.17,3.19,3.1,6.14M,-0.0064
09-04-2025,3.14,3.09,3.15,3.09,6.56M,0.0129
08-04-2025,3.1,3.09,3.13,3.09,329.11K,0.0265
07-04-2025,3.02,3,3.05,2.99,1.48M,-0.0258
04-04-2025,3.1,3.1,3.12,3.08,1.40M,-0.0064
03-04-2025,3.12,3.15,3.15,3.1,3.82M,-0.0127
02-04-2025,3.16,3.22,3.31,3.16,8.32M,-0.0997
28-03-2025,3.51,3.12,3.51,3.1,157.13M,0.1214
27-03-2025,3.13,3.13,3.15,3.11,3.86M,0
26-03-2025,3.13,3.13,3.17,3.11,5.98M,0.0032
25-03-2025,3.12,3.13,3.13,3.11,1.83M,0
24-03-2025,3.12,3.14,3.14,3.09,1.88M,-0.0032
21-03-2025,3.13,3.12,3.15,3.11,4.59M,0.0032
20-03-2025,3.12,3.13,3.16,3.12,1.77M,-0.0064
19-03-2025,3.14,3.1,3.17,3.09,6.66M,0.0129
18-03-2025,3.1,3.04,3.1,3.04,2.86M,0.0197
17-03-2025,3.04,3.03,3.05,2.96,1.15M,0
14-03-2025,3.04,3.05,3.09,2.98,1.37M,-0.0065
13-03-2025,3.06,3.04,3.1,3.04,465.47K,0.0099
12-03-2025,3.03,3.04,3.08,3.01,425.58K,-0.0033
11-03-2025,3.04,2.96,3.05,2.91,683.39K,0.0167
10-03-2025,2.99,3.04,3.04,2.99,923.93K,-0.0197
07-03-2025,3.05,3.04,3.05,3,350.46K,0
06-03-2025,3.05,3.06,3.06,3.03,230.53K,0
05-03-2025,3.05,3.09,3.09,3.03,2.10M,-0.0097
04-03-2025,3.08,3.07,3.11,3.06,3.43M,0.0033
03-03-2025,3.07,3.05,3.08,3.05,431.97K,0.0099
28-02-2025,3.04,3.06,3.06,3,895.59K,-0.0033
27-02-2025,3.05,3.05,3.05,3.03,89.52K,0
26-02-2025,3.05,3.08,3.1,3.03,2.18M,-0.0097
25-02-2025,3.08,3.1,3.1,3.07,1.70M,-0.0096
24-02-2025,3.11,3.09,3.14,3.09,1.51M,0.0032
21-02-2025,3.1,3.11,3.11,3.1,395.84K,-0.0032
20-02-2025,3.11,3.12,3.16,3.11,6.23M,-0.0032
19-02-2025,3.12,3.13,3.14,3.12,784.49K,0
18-02-2025,3.12,3.12,3.13,3.1,743.23K,0
17-02-2025,3.12,3.09,3.14,3.08,1.45M,0.0097
14-02-2025,3.09,3.09,3.11,3.08,254.78K,0
13-02-2025,3.09,3.1,3.11,3.08,972.14K,0
12-02-2025,3.09,3.1,3.12,3.08,779.66K,-0.0032
11-02-2025,3.1,3.09,3.13,3.08,355.36K,0.0032
10-02-2025,3.09,3.1,3.11,3.09,746.54K,-0.0032
07-02-2025,3.1,3.12,3.12,3.09,832.43K,-0.0064
06-02-2025,3.12,3.1,3.14,3.08,3.20M,0.013
05-02-2025,3.08,3.11,3.11,3.07,1.90M,-0.0128
04-02-2025,3.12,3.13,3.13,3.1,964.12K,0
03-02-2025,3.12,3.12,3.12,3.11,617.44K,0
31-01-2025,3.12,3.12,3.13,3.11,455.87K,0
30-01-2025,3.12,3.13,3.13,3.11,651.30K,0.0032
29-01-2025,3.11,3.13,3.14,3.1,1.35M,-0.0032
28-01-2025,3.12,3.12,3.15,3.11,1.74M,0
27-01-2025,3.12,3.13,3.15,3.11,1.08M,-0.0032
24-01-2025,3.13,3.12,3.14,3.11,1.03M,0
23-01-2025,3.13,3.11,3.13,3.11,1.03M,0.0064
22-01-2025,3.11,3.13,3.15,3.08,3.69M,-0.0064
21-01-2025,3.13,3.13,3.13,3.12,823.10K,0
20-01-2025,3.13,3.13,3.14,3.11,2.42M,0
17-01-2025,3.13,3.13,3.14,3.11,1.53M,0
16-01-2025,3.13,3.12,3.14,3.11,1.87M,0.0032
15-01-2025,3.12,3.12,3.15,3.11,3.34M,0.0065
14-01-2025,3.1,3.1,3.13,3.1,1.81M,0
13-01-2025,3.1,3.07,3.14,3.07,2.98M,0.0098
10-01-2025,3.07,3.06,3.08,3.04,843.73K,0.0033
09-01-2025,3.06,3.09,3.09,3.04,966.02K,-0.0065
08-01-2025,3.08,3.09,3.1,3.07,326.52K,0
07-01-2025,3.08,3.14,3.14,3.06,5.38M,-0.016
06-01-2025,3.13,3.17,3.18,3.11,1.51M,-0.0126
03-01-2025,3.17,3.2,3.2,3.15,1.35M,-0.0094
02-01-2025,3.2,3.41,3.41,3.2,7.06M,-0.0883
31-12-2024,3.51,3.37,3.51,3.34,124.52M,0.0057
30-12-2024,3.49,3.14,3.49,3.13,35.62M,0.115
27-12-2024,3.13,3.12,3.15,3.12,1.22M,0.0032
26-12-2024,3.12,3.16,3.16,3.11,2.88M,-0.0095
25-12-2024,3.15,3.17,3.17,3.14,1.89M,-0.0063
24-12-2024,3.17,3.17,3.21,3.15,10.82M,0
23-12-2024,3.17,3.09,3.19,3.09,15.12M,0.0193
20-12-2024,3.11,3.07,3.11,3.04,3.69M,0.0163
19-12-2024,3.06,3.06,3.08,3.05,1.45M,0
18-12-2024,3.06,3.05,3.11,3.05,2.70M,0.0066
17-12-2024,3.04,3.04,3.08,3.01,1.77M,0
16-12-2024,3.04,3.07,3.08,3,1.89M,-0.0098
13-12-2024,3.07,3.08,3.08,3.06,98.12K,-0.0032
12-12-2024,3.08,3.07,3.11,3.07,1.87M,0.0033
11-12-2024,3.07,3.07,3.08,3.05,1.14M,0.0033
10-12-2024,3.06,3.09,3.13,3.06,2.81M,-0.0097
09-12-2024,3.09,2.99,3.11,2.98,8.12M,0.0334
06-12-2024,2.99,3.01,3.01,2.98,1.67M,-0.0066
05-12-2024,3.01,2.93,3.02,2.91,9.59M,0.0273
04-12-2024,2.93,2.91,2.93,2.89,2.50M,0.0069
29-11-2024,2.91,2.91,2.92,2.87,1.87M,0
28-11-2024,2.91,2.83,2.94,2.83,5.42M,0.0246
27-11-2024,2.84,2.83,2.85,2.82,1.86M,0.0071
26-11-2024,2.82,2.83,2.85,2.79,1.44M,-0.0035
25-11-2024,2.83,2.83,2.87,2.83,1.55M,0
22-11-2024,2.83,2.84,2.84,2.83,568.89K,-0.0035
21-11-2024,2.84,2.83,2.85,2.83,1.87M,0
20-11-2024,2.84,2.85,2.86,2.83,687.64K,0
19-11-2024,2.84,2.84,2.87,2.84,977.51K,0
18-11-2024,2.84,2.85,2.86,2.83,1.68M,-0.007
15-11-2024,2.86,2.85,2.86,2.83,1.03M,0.0035
14-11-2024,2.85,2.88,2.88,2.84,474.36K,0
13-11-2024,2.85,2.87,2.88,2.83,1.54M,0
12-11-2024,2.85,2.86,2.87,2.85,2.36M,-0.0035
11-11-2024,2.86,2.9,2.9,2.86,885.55K,-0.0138
08-11-2024,2.9,2.86,2.91,2.85,3.67M,0.0175
07-11-2024,2.85,2.84,2.88,2.82,2.49M,0.0071
06-11-2024,2.83,2.83,2.87,2.82,2.53M,0.0071
05-11-2024,2.81,2.83,2.84,2.81,544.28K,-0.0035
04-11-2024,2.82,2.84,2.85,2.82,779.00K,-0.0035
01-11-2024,2.83,2.84,2.84,2.83,592.65K,-0.0035
31-10-2024,2.84,2.84,2.84,2.82,599.96K,0
30-10-2024,2.84,2.83,2.87,2.81,2.23M,0.0035
29-10-2024,2.83,2.84,2.84,2.82,2.13M,-0.007
28-10-2024,2.85,2.86,2.92,2.84,4.63M,0
25-10-2024,2.85,2.92,2.92,2.85,1.88M,-0.0172
24-10-2024,2.9,2.93,3.06,2.9,7.63B,-0.0102
23-10-2024,2.93,2.95,2.96,2.91,751.87K,-0.0068
22-10-2024,2.95,2.96,2.97,2.95,1.01M,-0.0034
21-10-2024,2.96,2.97,2.97,2.96,709.15K,-0.0034
18-10-2024,2.97,2.98,3.02,2.96,755.24K,0.0034
17-10-2024,2.96,3.01,3.02,2.94,1.01M,-0.0166
16-10-2024,3.01,2.96,3.03,2.95,1.68M,0.0135
15-10-2024,2.97,2.97,3,2.96,717.37K,-0.0067
14-10-2024,2.99,2.98,3.05,2.96,586.20K,0.0067
11-10-2024,2.97,3,3.01,2.97,1.51M,-0.0198
10-10-2024,3.03,3.05,3.07,2.96,2.07M,-0.0066
09-10-2024,3.05,2.9,3.18,2.9,13.56M,0.0481
08-10-2024,2.91,2.86,2.91,2.86,1.15M,0.0175
07-10-2024,2.86,2.84,2.86,2.8,971.23K,0.007
04-10-2024,2.84,2.79,2.84,2.78,752.70K,0.0179
03-10-2024,2.79,2.84,2.85,2.75,990.40K,-0.0106
02-10-2024,2.82,2.9,2.9,2.8,835.58K,-0.0276
01-10-2024,2.9,2.98,3.01,2.88,6.50M,-0.0937
30-09-2024,3.2,2.87,3.2,2.72,103.34M,0.1073
27-09-2024,2.89,2.88,2.9,2.87,7.42M,0.0105
26-09-2024,2.86,2.87,2.88,2.84,4.23M,-0.0035
25-09-2024,2.87,2.83,2.87,2.8,12.30M,0.0177
24-09-2024,2.82,2.85,2.85,2.82,2.38M,-0.007
23-09-2024,2.84,2.87,2.91,2.83,6.22M,-0.007
20-09-2024,2.86,2.87,2.87,2.83,7.02M,0
19-09-2024,2.86,2.76,2.86,2.76,14.63M,0.0362
18-09-2024,2.76,2.76,2.76,2.72,4.64M,0
17-09-2024,2.76,2.71,2.78,2.71,9.51M,0.0222
16-09-2024,2.7,2.65,2.71,2.64,5.30M,0.0227
13-09-2024,2.64,2.65,2.65,2.63,907.28K,0
12-09-2024,2.64,2.65,2.66,2.64,1.94M,0.0038
11-09-2024,2.63,2.67,2.67,2.63,1.86M,-0.015
10-09-2024,2.67,2.66,2.67,2.64,1.90M,0.0114
09-09-2024,2.64,2.66,2.66,2.64,3.30M,-0.0112
06-09-2024,2.67,2.64,2.67,2.63,2.01M,0.0114
05-09-2024,2.64,2.63,2.67,2.61,9.69M,0.0038
04-09-2024,2.63,2.63,2.63,2.6,2.03M,0.0038
03-09-2024,2.62,2.63,2.66,2.62,7.52M,0.0038
02-09-2024,2.61,2.53,2.63,2.52,6.90M,0.0316
30-08-2024,2.53,2.56,2.57,2.53,5.72M,-0.0078
29-08-2024,2.55,2.6,2.61,2.55,3.64M,-0.0192
28-08-2024,2.6,2.59,2.61,2.58,8.15M,0.0078
27-08-2024,2.58,2.58,2.6,2.56,7.72M,0.0039
26-08-2024,2.57,2.6,2.61,2.57,6.27M,-0.0115
23-08-2024,2.6,2.61,2.61,2.59,4.17M,-0.0038
22-08-2024,2.61,2.62,2.63,2.6,5.77M,-0.0076
21-08-2024,2.63,2.6,2.64,2.56,11.41M,0.0154
20-08-2024,2.59,2.59,2.6,2.54,4.20M,0
19-08-2024,2.59,2.65,2.66,2.59,3.62M,-0.0263
16-08-2024,2.66,2.67,2.69,2.64,1.76M,0.0038
15-08-2024,2.65,2.68,2.71,2.64,1.50M,-0.0112
14-08-2024,2.68,2.68,2.71,2.66,830.50K,0.0152
13-08-2024,2.64,2.65,2.66,2.63,427.68K,-0.0038
12-08-2024,2.65,2.65,2.66,2.64,368.16K,0.0038
09-08-2024,2.64,2.64,2.67,2.63,359.39K,0.0038
08-08-2024,2.63,2.64,2.66,2.63,147.94K,-0.0075
07-08-2024,2.65,2.63,2.69,2.62,1.53M,0.0153
06-08-2024,2.61,2.6,2.65,2.59,2.56M,0.0077
05-08-2024,2.59,2.61,2.64,2.57,1.80M,-0.0407
02-08-2024,2.7,2.72,2.72,2.66,1.27M,-0.0074
01-08-2024,2.72,2.73,2.74,2.72,737.77K,-0.0037
31-07-2024,2.73,2.75,2.76,2.72,1.22M,-0.0109
30-07-2024,2.76,2.73,2.8,2.73,5.70M,0.0073
29-07-2024,2.74,2.73,2.75,2.72,1.19M,0.0037
26-07-2024,2.73,2.74,2.76,2.73,1.02M,-0.0036
25-07-2024,2.74,2.76,2.76,2.73,2.64M,-0.0036
24-07-2024,2.75,2.77,2.78,2.75,3.73M,0
23-07-2024,2.75,2.75,2.77,2.74,1.33M,0
22-07-2024,2.75,2.75,2.77,2.75,954.83K,0
19-07-2024,2.75,2.75,2.76,2.74,2.95M,0.0036
18-07-2024,2.74,2.8,2.8,2.74,4.61M,-0.0214
17-07-2024,2.8,2.81,2.81,2.78,594.78K,-0.0036
16-07-2024,2.81,2.81,2.82,2.79,4.50M,-0.0035
15-07-2024,2.82,2.82,2.84,2.81,1.65M,-0.0035
12-07-2024,2.83,2.85,2.85,2.83,782.89K,-0.0035
11-07-2024,2.84,2.84,2.85,2.82,1.68M,0
10-07-2024,2.84,2.86,2.87,2.81,2.02M,-0.0139
09-07-2024,2.88,2.88,2.9,2.86,551.55K,0
08-07-2024,2.88,2.9,2.9,2.88,712.40K,-0.0035
05-07-2024,2.89,2.89,2.91,2.88,785.80K,0
04-07-2024,2.89,2.91,2.91,2.86,1.26M,-0.0069
03-07-2024,2.91,2.92,2.93,2.91,465.06K,0
02-07-2024,2.91,2.93,2.95,2.91,441.22K,-0.0068
01-07-2024,2.93,3.06,3.06,2.93,2.16M,-0.0698
28-06-2024,3.15,2.93,3.15,2.91,67.25M,0.0751
