Date,Close,Open,High,Low,Vol.,Change %
22-09-2025,6027.15,6023.21,6036.83,6009.84,86.42M,0.0007
19-09-2025,6023.21,5978.69,6036.35,5977.26,210.12M,0.0074
18-09-2025,5978.69,5991.11,6030.31,5977.19,170.64M,-0.0021
17-09-2025,5991.11,5999.68,6007.84,5966.22,117.42M,-0.0014
16-09-2025,5999.68,6041.12,6050.91,5989.32,188.52M,-0.0069
15-09-2025,6041.12,6030.55,6054.52,6020.98,187.17M,0.0018
12-09-2025,6030.55,5955.26,6032.59,5954,177.34M,0.0124
11-09-2025,5956.76,5922.57,5959.68,5905.11,166.96M,0.0058
10-09-2025,5922.57,5956.41,5956.41,5907.57,111.37M,-0.0059
09-09-2025,5957.91,5935.43,5961.09,5929.77,226.04M,0.0038
08-09-2025,5935.43,5989.21,6005.7,5917,252.26M,-0.009
04-09-2025,5989.21,5974.08,5998.82,5962.71,125.77M,0.0025
03-09-2025,5974.08,6010.89,6036.99,5972.77,154.02M,-0.0061
02-09-2025,6010.89,5969.31,6010.89,5909.42,192.51M,0.007
01-09-2025,5969.31,6063.61,6069.52,5963.68,164.62M,-0.0156
29-08-2025,6063.61,6084.16,6109.27,6063.57,188.10M,-0.0034
28-08-2025,6084.16,6128.2,6131.61,6084.12,204.15M,-0.0071
27-08-2025,6127.45,6104.63,6134.1,6102.32,293.35M,0.004
26-08-2025,6103.12,6136.12,6148.48,6089.79,367.58M,-0.0053
25-08-2025,6135.37,6126.64,6163.59,6115.44,316.00M,0.0015
22-08-2025,6125.89,6129.21,6150.37,6118.5,182.18M,-0.0003
21-08-2025,6127.71,6122.11,6140.66,6111.72,190.15M,0.0009
20-08-2025,6122.11,6150.94,6157.46,6119.1,236.46M,-0.0047
19-08-2025,6150.94,6128.22,6159.5,6114.62,114.52M,0.0036
18-08-2025,6128.97,6128.22,6158.13,6121.39,133.61M,0.0005
15-08-2025,6125.96,6092.32,6137.18,6090.16,164.56M,0.005
14-08-2025,6095.33,6089.95,6121.47,6077.31,137.44M,0.0006
13-08-2025,6091.45,6118.5,6134.68,6073.97,189.48M,-0.0044
12-08-2025,6118.5,6154.79,6165.2,6100.33,277.50M,-0.0057
11-08-2025,6153.29,6149.26,6169.5,6130.63,251.89M,0.0008
08-08-2025,6148.51,6131.63,6151.38,6126.55,200.48M,0.0025
07-08-2025,6133.13,6156.76,6168.16,6123.69,211.99M,-0.0037
06-08-2025,6156.01,6167.13,6177.55,6138.32,143.04M,-0.0017
05-08-2025,6166.38,6125.6,6184.05,6122.77,146.24M,0.0067
04-08-2025,6125.6,6111.97,6139.91,6069.8,130.98M,0.0022
01-08-2025,6111.97,6159.15,6181.66,6096.51,183.24M,-0.0077
31-07-2025,6159.15,6209.16,6209.16,6153.48,169.01M,-0.0079
30-07-2025,6208.41,6177.81,6208.41,6159.1,164.43M,0.005
29-07-2025,6177.81,6169.19,6199.87,6135.82,179.56M,0.0016
28-07-2025,6167.68,6151.21,6235.81,6150.95,332.23M,0.0028
25-07-2025,6150.46,6112.96,6158.52,6105.11,291.20M,0.0064
24-07-2025,6111.46,6086.19,6111.48,6069.71,284.88M,0.0042
23-07-2025,6086.19,6024.79,6088.22,6024.01,166.02M,0.0102
22-07-2025,6024.79,6045.04,6057.68,6004.01,188.66M,-0.0033
21-07-2025,6045.04,6114.81,6120.96,6034.67,234.43M,-0.008
18-07-2025,6093.76,6103.84,6114.44,6052.3,144.50M,-0.0015
17-07-2025,6103.09,5976.69,6103.21,5969.78,231.22M,0.0215
16-07-2025,5974.43,5914.8,5988.05,5905.26,268.74M,0.0102
15-07-2025,5914.05,5856.58,5917.07,5856.17,455.36M,0.0098
14-07-2025,5856.58,5854.99,5880.27,5828.45,381.57M,0.0003
