Date,Close,Open,High,Low,Vol.,Change %
19-09-2025,2.71,2.72,2.74,2.71,19.37M,-0.0037
18-09-2025,2.72,2.75,2.76,2.72,12.21M,-0.0073
17-09-2025,2.74,2.74,2.76,2.73,7.44M,0
16-09-2025,2.74,2.74,2.75,2.73,6.10M,0.0037
15-09-2025,2.73,2.75,2.77,2.73,9.63M,-0.0109
12-09-2025,2.76,2.74,2.77,2.73,3.19M,0.0073
11-09-2025,2.74,2.74,2.75,2.73,4.05M,0
10-09-2025,2.74,2.73,2.75,2.73,3.08M,0
09-09-2025,2.74,2.75,2.76,2.73,5.08M,-0.0036
08-09-2025,2.75,2.76,2.77,2.73,5.06M,-0.0036
04-09-2025,2.76,2.77,2.77,2.76,3.00M,-0.0036
03-09-2025,2.77,2.76,2.78,2.76,4.77M,0
02-09-2025,2.77,2.75,2.77,2.73,4.35M,0.0073
01-09-2025,2.75,2.76,2.76,2.73,4.20M,0
29-08-2025,2.75,2.78,2.79,2.75,5.20M,-0.0072
28-08-2025,2.77,2.79,2.79,2.77,6.81M,-0.0107
27-08-2025,2.8,2.8,2.8,2.77,8.51M,0
26-08-2025,2.8,2.78,2.8,2.75,52.01M,0.0072
25-08-2025,2.78,2.78,2.78,2.74,7.82M,0
22-08-2025,2.78,2.78,2.78,2.76,4.55M,0
21-08-2025,2.78,2.75,2.78,2.74,7.96M,0.0109
20-08-2025,2.75,2.77,2.77,2.74,4.93M,-0.0072
19-08-2025,2.77,2.74,2.77,2.73,11.36M,0.0109
18-08-2025,2.74,2.74,2.76,2.73,6.64M,-0.0036
15-08-2025,2.75,2.74,2.77,2.74,15.21M,0
14-08-2025,2.75,2.73,2.75,2.72,14.88M,0.0073
13-08-2025,2.73,2.74,2.75,2.72,15.26M,-0.0036
12-08-2025,2.74,2.76,2.76,2.72,11.70M,-0.0072
11-08-2025,2.76,2.74,2.76,2.73,11.23M,0.0073
08-08-2025,2.74,2.73,2.77,2.73,10.51M,0.0037
07-08-2025,2.73,2.73,2.74,2.72,6.40M,0.0037
06-08-2025,2.72,2.76,2.77,2.71,8.40M,-0.0145
05-08-2025,2.76,2.75,2.79,2.75,8.51M,0.0036
04-08-2025,2.75,2.75,2.76,2.74,4.06M,0.0073
01-08-2025,2.73,2.77,2.78,2.73,13.70M,-0.0144
31-07-2025,2.77,2.8,2.81,2.77,6.14M,-0.0142
30-07-2025,2.81,2.77,2.81,2.76,4.11M,0.0144
29-07-2025,2.77,2.79,2.8,2.75,6.90M,-0.0072
28-07-2025,2.79,2.81,2.82,2.79,9.03M,-0.0071
25-07-2025,2.81,2.81,2.81,2.79,4.09M,0
24-07-2025,2.81,2.8,2.81,2.77,7.71M,0.0036
23-07-2025,2.8,2.78,2.8,2.77,5.86M,0.0072
22-07-2025,2.78,2.78,2.79,2.75,3.36M,0
21-07-2025,2.78,2.8,2.8,2.76,6.63M,-0.0107
18-07-2025,2.81,2.83,2.83,2.79,10.59M,-0.0071
17-07-2025,2.83,2.82,2.84,2.8,19.92M,0.0035
16-07-2025,2.82,2.82,2.82,2.8,6.06M,0
15-07-2025,2.82,2.82,2.82,2.8,3.01M,0
14-07-2025,2.82,2.78,2.82,2.77,9.51M,0.0181
11-07-2025,2.77,2.8,2.8,2.77,4.27M,-0.0072
10-07-2025,2.79,2.83,2.84,2.78,6.18M,-0.0141
09-07-2025,2.83,2.82,2.84,2.81,15.69M,0.0071
08-07-2025,2.81,2.79,2.81,2.76,17.99M,0.0072
07-07-2025,2.79,2.79,2.8,2.78,6.04M,0
04-07-2025,2.79,2.78,2.79,2.76,6.06M,0.0036
03-07-2025,2.78,2.73,2.78,2.72,7.49M,0.0258
02-07-2025,2.71,2.77,2.79,2.71,12.35M,-0.0181
01-07-2025,2.76,2.82,2.82,2.76,8.23M,-0.0213
30-06-2025,2.82,2.78,2.82,2.78,16.51M,0.0144
26-06-2025,2.78,2.76,2.79,2.76,6.59M,0.0072
25-06-2025,2.76,2.78,2.79,2.76,10.39M,-0.0108
24-06-2025,2.79,2.74,2.8,2.73,13.42M,0.0333
