Date,Close,Open,High,Low,Vol.,Change %
19-09-2025,14.05,13.9,14.1,13.9,24.38M,0.0108
18-09-2025,13.9,13.9,14.15,13.9,24.88M,0.0109
17-09-2025,13.75,13.95,13.95,13.65,25.08M,-0.0108
16-09-2025,13.9,14.15,14.3,13.85,26.07M,-0.0177
15-09-2025,14.15,14.35,14.55,14.15,14.97M,-0.0208
12-09-2025,14.45,14.25,14.45,14.2,7.70M,0.0176
11-09-2025,14.2,14.25,14.35,14.2,5.58M,-0.0035
10-09-2025,14.25,14.3,14.4,14.15,14.30M,-0.0104
09-09-2025,14.4,14.25,14.4,14.2,14.09M,0.007
08-09-2025,14.3,14.4,14.45,14.1,13.60M,-0.0035
04-09-2025,14.35,14.1,14.4,14,9.72M,0.0177
03-09-2025,14.1,14.25,14.45,14.05,12.44M,-0.014
02-09-2025,14.3,14.05,14.35,13.75,23.80M,0.0142
01-09-2025,14.1,14.4,14.45,14,11.89M,-0.0208
29-08-2025,14.4,14.45,14.65,14.4,10.89M,-0.0035
28-08-2025,14.45,14.65,14.7,14.45,8.49M,-0.0137
27-08-2025,14.65,14.6,14.75,14.6,3.87M,0.0034
26-08-2025,14.6,14.85,14.85,14.6,21.02M,-0.0168
25-08-2025,14.85,14.8,14.95,14.7,8.69M,0.0102
22-08-2025,14.7,14.8,14.8,14.65,10.43M,0
21-08-2025,14.7,14.8,14.85,14.7,9.12M,-0.0068
20-08-2025,14.8,14.9,15.1,14.8,9.66M,-0.01
19-08-2025,14.95,14.85,14.95,14.8,7.39M,0.0101
18-08-2025,14.8,14.7,14.95,14.7,7.34M,0.0102
15-08-2025,14.65,14.75,14.75,14.6,8.79M,0
14-08-2025,14.65,14.75,14.95,14.65,17.40M,-0.0034
13-08-2025,14.7,14.95,15,14.7,12.63M,-0.0167
12-08-2025,14.95,15.2,15.25,14.8,10.07M,-0.0132
11-08-2025,15.15,15.25,15.25,15.1,4.73M,-0.0066
08-08-2025,15.25,15.3,15.35,15.1,6.02M,-0.0033
07-08-2025,15.3,15.3,15.6,15.15,14.04M,-0.0097
06-08-2025,15.45,15.5,15.5,15.35,11.75M,0
05-08-2025,15.45,15.3,15.55,15.25,6.48M,0.0065
04-08-2025,15.35,15.35,15.35,15.05,8.37M,0
01-08-2025,15.35,15.25,15.4,15.1,7.20M,0.0066
31-07-2025,15.25,15.45,15.55,15.25,9.60M,-0.0129
30-07-2025,15.45,15.45,15.5,15.25,10.19M,0
29-07-2025,15.45,15.5,15.6,15.15,14.33M,0
28-07-2025,15.45,15.8,15.85,15.45,10.06M,-0.0159
25-07-2025,15.7,15.3,15.9,15.3,16.10M,0.0261
24-07-2025,15.3,15.1,15.35,15.05,16.16M,0.0132
23-07-2025,15.1,15,15.1,14.9,10.31M,0.0067
22-07-2025,15,14.95,15,14.8,13.58M,0.0101
21-07-2025,14.85,15.05,15.1,14.8,9.39M,-0.0133
18-07-2025,15.05,15,15.15,14.9,14.98M,0.0067
17-07-2025,14.95,14.6,15,14.5,16.33M,0.0275
16-07-2025,14.55,14.5,14.7,14.45,18.67M,0
15-07-2025,14.55,14.25,14.55,14.25,17.00M,0.0175
14-07-2025,14.3,14.15,14.4,14.15,10.52M,0.007
11-07-2025,14.2,14,14.3,14,22.41M,0.0143
10-07-2025,14,13.9,14.05,13.9,7.40M,0
09-07-2025,14,13.95,14,13.8,12.25M,0.0036
08-07-2025,13.95,14,14.1,13.8,13.46M,-0.0071
07-07-2025,14.05,13.95,14.1,13.9,10.62M,0.0072
04-07-2025,13.95,13.9,14.05,13.8,8.84M,0
03-07-2025,13.95,13.5,13.95,13.45,28.42M,0.0372
02-07-2025,13.45,13.5,13.6,13.35,16.14M,-0.0037
01-07-2025,13.5,13.6,13.75,13.45,17.19M,-0.0074
30-06-2025,13.6,13.6,13.75,13.4,24.04M,0.0112
26-06-2025,13.45,13.45,13.6,13.35,13.89M,0
25-06-2025,13.45,13.4,13.45,13.3,12.54M,0.0037
24-06-2025,13.4,13.15,13.45,13.15,22.62M,0.051
23-06-2025,12.75,12.35,13,12.3,19.37M,0.0282
20-06-2025,12.4,12.25,12.45,12.2,29.55M,0.0122
19-06-2025,12.25,12.4,12.4,12,13.59M,-0.0121
18-06-2025,12.4,12.55,12.55,12.3,10.36M,-0.012
