Date,Close,Open,High,Low,Vol.,Change %
19-09-2025,9.39,9.4,9.46,9.34,3.62M,-0.0011
18-09-2025,9.4,9.41,9.47,9.37,2.86M,0
17-09-2025,9.4,9.4,9.5,9.4,3.59M,0
16-09-2025,9.4,9.54,9.55,9.35,11.33M,-0.0418
15-09-2025,9.81,9.87,9.87,9.61,966.23K,0.001
12-09-2025,9.8,9.52,9.8,9.52,2.26M,0.0294
11-09-2025,9.52,9.57,9.58,9.47,2.79M,-0.0052
10-09-2025,9.57,9.55,9.62,9.5,1.73M,0.0021
09-09-2025,9.55,9.6,9.65,9.47,1.69M,-0.0052
08-09-2025,9.6,9.89,9.89,9.55,1.97M,-0.0303
04-09-2025,9.9,10.15,10.15,9.86,2.20M,-0.0294
03-09-2025,10.2,10.4,10.4,10.15,1.20M,-0.0192
02-09-2025,10.4,10.5,10.6,10.1,1.01M,0.0097
01-09-2025,10.3,10.45,10.7,10.3,939.61K,-0.0144
29-08-2025,10.45,10.55,10.8,10.45,686.58K,-0.0095
28-08-2025,10.55,10.9,10.9,10.45,1.67M,-0.0321
27-08-2025,10.9,11,11.25,10.9,1.47M,-0.0091
26-08-2025,11,10.7,11,10.7,815.13K,0.028
25-08-2025,10.7,10.2,11.05,10.15,1.17M,0.049
22-08-2025,10.2,10.25,10.25,10.15,259.42K,0.0049
21-08-2025,10.15,10.15,10.25,10.1,936.02K,0
20-08-2025,10.15,10.2,10.2,10.1,792.78K,0
19-08-2025,10.15,10.15,10.2,10.05,1.29M,0
18-08-2025,10.15,10.15,10.2,10,997.83K,0
15-08-2025,10.15,10.15,10.15,9.96,475.67K,0.01
14-08-2025,10.05,10.15,10.2,10.05,1.49M,-0.0147
13-08-2025,10.2,10.15,10.2,10.05,1.92M,0.0049
12-08-2025,10.15,10.15,10.2,10.05,1.53M,0
11-08-2025,10.15,10.05,10.15,9.94,1.02M,0.01
08-08-2025,10.05,10,10.05,9.93,52.33K,0
07-08-2025,10.05,10.05,10.05,9.87,800.87K,0.008
06-08-2025,9.97,10.05,10.05,9.89,841.63K,-0.008
05-08-2025,10.05,9.95,10.05,9.87,304.82K,0.0101
04-08-2025,9.95,9.92,9.98,9.81,249.05K,0.002
01-08-2025,9.93,9.98,10,9.81,481.59K,-0.007
31-07-2025,10,10.25,10.25,9.99,1.04M,-0.0244
30-07-2025,10.25,10.25,10.35,10.1,1.56M,0.0099
29-07-2025,10.15,10.15,10.25,10.05,981.51K,0
28-07-2025,10.15,10.1,10.15,10,1.27M,0.005
25-07-2025,10.1,10.15,10.15,10,1.13M,0.01
24-07-2025,10,9.99,10.05,9.94,1.35M,0.004
23-07-2025,9.96,9.97,9.97,9.85,326.54K,0.0112
22-07-2025,9.85,9.86,9.97,9.8,341.96K,0
21-07-2025,9.85,9.83,9.85,9.76,371.07K,0.001
18-07-2025,9.84,9.8,9.85,9.7,1.05M,0.0041
17-07-2025,9.8,9.85,9.85,9.76,944.19K,0
16-07-2025,9.8,9.68,9.85,9.66,1.42M,0.0124
15-07-2025,9.68,9.68,9.7,9.62,716.29K,0
14-07-2025,9.68,9.69,9.71,9.65,444.80K,-0.001
11-07-2025,9.69,9.7,9.74,9.67,264.83K,-0.001
10-07-2025,9.7,9.7,9.73,9.6,654.68K,0
09-07-2025,9.7,9.77,9.77,9.69,1.44M,-0.0061
08-07-2025,9.76,9.83,9.87,9.7,520.23K,-0.0081
07-07-2025,9.84,9.88,9.92,9.83,276.47K,-0.004
04-07-2025,9.88,9.95,9.95,9.87,385.11K,0.002
03-07-2025,9.86,9.99,9.99,9.82,218.03K,-0.004
02-07-2025,9.9,10,10,9.85,710.43K,-0.01
01-07-2025,10,9.98,10.05,9.85,900.99K,0.0081
30-06-2025,9.92,9.75,10.15,9.66,623.57K,0.0227
26-06-2025,9.7,9.58,9.71,9.52,658.38K,0.0104
25-06-2025,9.6,9.43,9.65,9.31,1.77M,0.018
24-06-2025,9.43,9.17,9.46,9.17,1.48M,0.0284
23-06-2025,9.17,9.05,9.18,8.97,559.57K,0.0077
20-06-2025,9.1,9,9.14,8.97,1.11M,0.0111
19-06-2025,9,9.15,9.15,8.98,1.49M,-0.0164
18-06-2025,9.15,9.1,9.2,9.03,500.96K,0.0055
17-06-2025,9.1,9.2,9.2,9.1,475.48K,-0.0109
16-06-2025,9.2,9.1,9.28,9,1.31M,0.0022
13-06-2025,9.18,8.84,9.3,8.31,742.45K,0.0144
12-06-2025,9.05,9.34,9.34,9.03,1.28M,-0.0279
11-06-2025,9.31,9.33,9.34,9.28,222.11K,-0.0021
10-06-2025,9.33,9.33,9.34,9.29,315.18K,0.0011
09-06-2025,9.32,9.27,9.35,9.22,227.11K,0.0119
04-06-2025,9.21,9.36,9.36,9.15,364.22K,-0.016
03-06-2025,9.36,9.12,9.5,9.07,1.14M,0.032
02-06-2025,9.07,8.96,9.12,8.96,278.56K,0.0134
30-05-2025,8.95,9.05,9.08,8.95,579.35K,-0.0143
29-05-2025,9.08,9.1,9.15,9.08,322.19K,-0.0022
28-05-2025,9.1,9.09,9.1,9.05,1.04M,0.0033
27-05-2025,9.07,8.96,9.1,8.96,1.82M,0.0123
26-05-2025,8.96,9,9,8.83,312.12K,-0.0044
23-05-2025,9,8.98,9,8.9,1.39M,0.0022
22-05-2025,8.98,8.9,8.98,8.83,242.83K,0.017
21-05-2025,8.83,8.97,9,8.8,262.88K,-0.0145
20-05-2025,8.96,8.99,8.99,8.89,102.41K,0.0011
19-05-2025,8.95,9,9,8.91,102.09K,0.0056
16-05-2025,8.9,8.8,8.94,8.63,516.14K,0.0137
15-05-2025,8.78,8.79,8.8,8.6,365.42K,0.0209
14-05-2025,8.6,8.68,8.75,8.4,960.25K,-0.0069
13-05-2025,8.66,8.68,8.68,8.59,178.45K,-0.0023
12-05-2025,8.68,8.6,8.68,8.52,554.63K,0.0105
09-05-2025,8.59,8.58,8.6,8.51,534.84K,0.007
08-05-2025,8.53,8.54,8.6,8.48,1.10M,0.0035
07-05-2025,8.5,8.64,8.64,8.47,2.34M,-0.0023
06-05-2025,8.52,8.8,8.8,8.48,1.87M,-0.0196
05-05-2025,8.69,8.68,8.74,8.52,412.70K,0.0046
02-05-2025,8.65,8.63,8.73,8.53,1.15M,0.0023
01-05-2025,8.63,8.7,8.71,8.52,752.42K,-0.008
30-04-2025,8.7,8.75,8.75,8.48,817.54K,0
29-04-2025,8.7,8.89,8.89,8.61,392.29K,-0.0181
28-04-2025,8.86,8.54,8.86,8.5,434.40K,0.035
25-04-2025,8.56,8.6,8.85,8.45,942.73K,-0.0035
24-04-2025,8.59,8.33,8.89,8.3,1.16M,0.0312
23-04-2025,8.33,8.31,8.34,8.28,639.12K,0.006
22-04-2025,8.28,8.23,8.29,8.23,315.43K,0.0061
21-04-2025,8.23,8.22,8.3,8.21,157.13K,0.0024
18-04-2025,8.21,8.14,8.31,8.09,390.86K,0.0173
17-04-2025,8.07,8,8.15,7.98,2.55M,0.0125
16-04-2025,7.97,7.97,8.08,7.97,1.31M,-0.0038
15-04-2025,8,7.98,8.02,7.97,212.91K,0
14-04-2025,8,8,8,7.93,442.16K,0
11-04-2025,8,7.98,8,7.97,106.16K,0
10-04-2025,8,8.01,8.1,7.95,400.89K,0
09-04-2025,8,7.95,8.01,7.85,1.79M,0
08-04-2025,8,8,8.05,7.96,1.56M,0
07-04-2025,8,7.42,8.08,7.42,1.22M,-0.0244
04-04-2025,8.2,8.16,8.2,8.02,196.08K,0.0099
03-04-2025,8.12,8.1,8.16,8.03,422.34K,-0.0061
02-04-2025,8.17,8.05,8.18,8.05,487.98K,0.0136
28-03-2025,8.06,7.94,8.18,7.9,528.02K,0.0203
27-03-2025,7.9,7.9,7.93,7.86,478.85K,-0.005
26-03-2025,7.94,7.99,7.99,7.87,779.92K,-0.0317
25-03-2025,8.2,8.12,8.21,8.1,1.18M,0.0111
24-03-2025,8.11,8.2,8.2,8.07,572.37K,-0.0098
21-03-2025,8.19,8.12,8.2,8.08,494.47K,0.0086
20-03-2025,8.12,8.1,8.2,8.06,869.01K,0.0025
19-03-2025,8.1,8.06,8.15,8.06,419.77K,-0.0025
18-03-2025,8.12,9.23,9.23,8.06,1.12M,0.0074
17-03-2025,8.06,8.1,8.14,8.04,99.66K,0.0025
14-03-2025,8.04,8.01,8.04,7.98,107.58K,0.0063
13-03-2025,7.99,8.04,8.04,7.98,175.72K,-0.0062
12-03-2025,8.04,8.05,8.05,7.98,121.37K,-0.0012
11-03-2025,8.05,7.96,8.15,7.65,1.40M,0.0063
10-03-2025,8,8.05,8.11,7.97,1.08M,0
07-03-2025,8,8.15,8.15,7.9,1.36M,-0.0184
06-03-2025,8.15,8.15,8.16,8.09,120.57K,0
