Date,Close,Open,High,Low,Vol.,Change %
19-09-2025,18.64,18.06,18.64,18.06,11.77M,0.0298
18-09-2025,18.1,17.9,18.12,17.9,2.04M,0.0112
17-09-2025,17.9,17.86,18,17.82,1.40M,0.0022
16-09-2025,17.86,17.7,17.94,17.7,2.17M,0.0045
15-09-2025,17.78,17.74,17.8,17.6,1.66M,0.0034
12-09-2025,17.72,17.46,17.76,17.42,3.05M,0.0184
11-09-2025,17.4,17.56,17.6,17.4,2.80M,-0.0091
10-09-2025,17.56,17.54,17.68,17.44,3.51M,-0.0034
09-09-2025,17.62,17.76,17.8,17.44,3.33M,-0.0045
08-09-2025,17.7,17.84,18.02,17.7,2.26M,-0.0067
04-09-2025,17.82,18,18,17.78,1.12M,-0.0056
03-09-2025,17.92,17.82,18.16,17.82,1.84M,0.0056
02-09-2025,17.82,17.88,17.98,17.66,1.55M,0.0022
01-09-2025,17.78,18.1,18.12,17.72,1.69M,-0.0166
29-08-2025,18.08,18.04,18.22,18.04,1.46M,0.0022
28-08-2025,18.04,18.2,18.2,18.04,1.36M,-0.0033
27-08-2025,18.1,18.34,18.34,18.1,1.69M,-0.0066
26-08-2025,18.22,18.24,18.4,18.18,8.15M,-0.0011
25-08-2025,18.24,18.02,18.34,18.02,1.94M,0.0122
22-08-2025,18.02,18.02,18.08,18,922.43K,0
21-08-2025,18.02,18.12,18.16,18.02,1.28M,-0.0066
20-08-2025,18.14,18.24,18.24,18.12,1.21M,-0.0066
19-08-2025,18.26,18.16,18.26,18.14,3.00M,0.0044
18-08-2025,18.18,18.12,18.26,18.08,1.40M,0.0033
15-08-2025,18.12,18.16,18.24,18.06,1.66M,-0.0022
14-08-2025,18.16,18.3,18.32,18.16,1.64M,-0.0077
13-08-2025,18.3,18.24,18.5,18.24,1.56M,0.0033
12-08-2025,18.24,18.3,18.38,18.2,1.16M,-0.0033
11-08-2025,18.3,18.6,18.62,18.24,1.52M,-0.0161
08-08-2025,18.6,18.72,18.72,18.56,1.44M,-0.02
07-08-2025,18.98,18.92,19.02,18.86,1.99M,0.0032
06-08-2025,18.92,19.04,19.04,18.88,1.70M,-0.0073
05-08-2025,19.06,19.08,19.08,18.94,1.69M,-0.001
04-08-2025,19.08,19.08,19.08,18.9,2.58M,0.0042
01-08-2025,19,19.02,19.18,18.9,4.94M,0.0032
31-07-2025,18.94,18.94,18.94,18.94,,0
30-07-2025,18.94,18.7,18.94,18.66,1.80M,0.0128
29-07-2025,18.7,18.9,18.96,18.62,1.42M,-0.0053
28-07-2025,18.8,19,19.04,18.72,2.14M,-0.0095
25-07-2025,18.98,18.8,19.04,18.72,3.56M,0.0085
24-07-2025,18.82,18.7,18.9,18.6,1.91M,0.0064
23-07-2025,18.7,18.54,18.7,18.54,2.87M,0.0075
22-07-2025,18.56,18.5,18.6,18.38,1.69M,0.0022
21-07-2025,18.52,18.7,18.76,18.4,2.20M,-0.0096
18-07-2025,18.7,18.48,18.76,18.38,5.04M,0.0174
17-07-2025,18.38,18.22,18.44,18.16,4.41M,0.0088
16-07-2025,18.22,18.4,18.58,18.22,4.23M,-0.0098
15-07-2025,18.4,17.98,18.5,17.96,8.46M,0.0245
14-07-2025,17.96,17.84,17.96,17.84,3.08M,0.0079
11-07-2025,17.82,17.9,17.92,17.82,1.44M,-0.0045
10-07-2025,17.9,17.96,17.98,17.86,1.94M,0
09-07-2025,17.9,17.74,18.08,17.74,4.91M,0.0056
08-07-2025,17.8,17.82,17.82,17.54,3.79M,0
07-07-2025,17.8,17.66,17.84,17.6,2.84M,0.0114
04-07-2025,17.6,17.5,17.68,17.44,1.31M,0.0057
03-07-2025,17.5,17.34,17.56,17.22,2.37M,0.0092
02-07-2025,17.34,17.44,17.48,17.26,1.91M,-0.0057
01-07-2025,17.44,17.6,17.7,17.36,1.88M,-0.0091
30-06-2025,17.6,17.3,17.62,17.28,4.68M,0.0185
26-06-2025,17.28,17.22,17.36,17.2,4.21M,0.007
25-06-2025,17.16,17.12,17.26,17.12,3.58M,0.0023
24-06-2025,17.12,17.1,17.4,17.02,7.13M,0.013
23-06-2025,16.9,16.74,16.96,16.54,2.42M,0.0096
20-06-2025,16.74,16.46,16.9,16.46,4.98M,0.017
19-06-2025,16.46,16.5,16.6,16.4,1.55M,-0.0024
18-06-2025,16.5,16.78,16.84,16.46,3.59M,-0.0155
17-06-2025,16.76,16.88,16.92,16.76,2.04M,-0.0036
16-06-2025,16.82,16.86,17.1,16.8,2.37M,-0.0024
13-06-2025,16.86,17.1,17.1,16.78,4.38M,-0.022
12-06-2025,17.24,17.68,17.68,17.24,3.93M,-0.026
