Date,Close,Open,High,Low,Vol.,Change %
21-09-2025,13538.1719,13.5337,13558.665,13.5337,,0.0002
19-09-2025,13535.3047,13387.5303,13539.8896,13341.5254,,0.011
18-09-2025,13387.4199,13446.0449,13491.5898,13324.7949,,-0.0043
17-09-2025,13444.9053,13553.375,13618.5703,13389.8848,,-0.008
16-09-2025,13553.8252,13512.5,13602.1299,13495.5547,,0.003
15-09-2025,13513.4102,13381.2002,13537.5596,13320.4854,,0.0099
12-09-2025,13381.2754,13347.21,13429.6348,13333.2949,,0.0026
11-09-2025,13346.9453,13372.2754,13402.2949,13274.4199,,-0.0019
10-09-2025,13372.2754,13317.1797,13435.1748,13293.9854,,0.0042
09-09-2025,13315.8398,13352.0801,13497.3604,13315.8398,,-0.0025
08-09-2025,13348.5801,13173.1201,13393.9404,13146.8604,,0.0132
05-09-2025,13174.5146,13022.5752,13224.0303,13001.1699,,0.0118
04-09-2025,13021.29,13073.7051,13090.7998,12895.1797,,-0.004
03-09-2025,13073.1953,12979.5049,13145.1104,12950.5254,,0.0071
02-09-2025,12981.2646,12769.5547,13004.7754,12746.0654,,0.0166
01-09-2025,12769.5547,12663.2803,12817.5752,12621.9697,,0.0083
29-08-2025,12664.5098,12551.6553,12686.4902,12503.7148,,0.009
28-08-2025,12551.1055,12478.3252,12574.1904,12429.7695,,0.0058
27-08-2025,12478.3096,12465.4346,12483.9648,12390.1348,,0.001
26-08-2025,12465.6201,12360.7305,12466.2051,12307.5049,,0.0082
25-08-2025,12364.4551,12384.5596,12401.4453,12338.9551,,-0.0017
22-08-2025,12385.9346,12263.1797,12410.5996,12199.4902,,0.0101
21-08-2025,12262.1602,12293.1152,12315.1445,12213.7197,,-0.0023
20-08-2025,12290.2451,12180.8203,12306.0498,12161.6504,,0.0088
19-08-2025,12182.5449,12241.5801,12287.875,12175.7002,,-0.0048
18-08-2025,12241.6152,12254.5898,12335.75,12207.29,,-0.0008
15-08-2025,12250.8848,12250.9248,12300.7852,12237.6748,,-0.0002
14-08-2025,12252.7949,12327.1699,12394.8945,12230.1904,,-0.006
13-08-2025,12327.0947,12300.9346,12380.96,12276.1953,,0.0024
12-08-2025,12297.9199,12276.6201,12338.6152,12234.8848,,0.0017
11-08-2025,12277.2451,12482.3604,12507.085,12270.7598,,-0.0166
08-08-2025,12484.4551,12476.7002,12519.2695,12413.29,,0.0007
07-08-2025,12475.1797,12374.54,12498.1553,12357.4346,,0.0081
06-08-2025,12375.5352,12418.4902,12433.4551,12334.8896,,-0.0036
05-08-2025,12419.9951,12391.7754,12453.9004,12304.46,,0.0021
04-08-2025,12393.9346,12350.8604,12435.335,12284.8398,,0.0034
01-08-2025,12352.0449,12084.6152,12354.4805,12051.8047,,0.0219
31-07-2025,12087.7549,12030.3398,12175.9053,12023.2695,,0.0047
30-07-2025,12030.875,12209.2197,12246.8896,12003.9004,,-0.0154
29-07-2025,12218.5498,12175.0801,12246.7197,12148.7598,,0.0035
28-07-2025,12176.0098,12256.1104,12286.9053,12127.1445,,-0.0067
25-07-2025,12258.4346,12372.0449,12390.3398,12212.9102,,-0.0092
24-07-2025,12372.1553,12440.085,12463.5146,12309.8604,,-0.0055
23-07-2025,12440.2354,12605.0195,12630.3848,12420.0449,,-0.0131
22-07-2025,12604.9102,12479.0352,12611.6396,12426.6396,,0.0103
21-07-2025,12476.9453,12306,12494.9805,12284.4248,,0.0141
18-07-2025,12303.9648,12265.3447,12346.6055,12237.5,,0.0031
17-07-2025,12265.9854,12294.4346,12312.375,12157.2451,,-0.0023
16-07-2025,12294.3604,12210.0596,12405.8799,12193.5352,,0.007
15-07-2025,12209.4746,12285.3447,12365.5996,12195.5195,,-0.006
14-07-2025,12283.7051,12326.5752,12396.3252,12271.8604,,-0.0035
11-07-2025,12326.4453,12209.5596,12373.9346,12198.0654,,0.0096
10-07-2025,12209.3945,12171.0547,12232.7949,12158.4551,,0.0031
09-07-2025,12171.1953,12127.2002,12183.6748,12057.7051,,0.0037
08-07-2025,12126.9248,12256.5098,12288.2803,12073.7549,,-0.0105
07-07-2025,12256.21,12254.3604,12280.5547,12107.6953,,0.0001
04-07-2025,12254.6953,12217.4648,12286.9102,12205.8701,,0.003
03-07-2025,12217.6699,12332.9746,12361.2949,12164.1846,,-0.0095
02-07-2025,12334.2998,12261.29,12341.7451,12222.4404,,0.0059
01-07-2025,12261.9648,12130.1396,12334.2646,12125.165,,0.0108
30-06-2025,12130.3604,12025.1699,12154.7451,11928.0898,,0.0087
27-06-2025,12025.1748,12222.2852,12228.2949,11957.1348,,-0.0161
26-06-2025,12222.1152,12239.0049,12305.1055,12156.3398,,-0.0013
25-06-2025,12238.46,12207.8252,12256.4951,12163.3047,,0.0025
24-06-2025,12208.0498,12371.8447,12379.8652,12102.5947,,-0.0132
23-06-2025,12371.6797,12370.1797,12463.4697,12292.4199,,0.0002
20-06-2025,12369.1699,12378.21,12392.8252,12267.21,,-0.0007
19-06-2025,12378.21,12372.7695,12442.6846,12293.6748,,0.0004
