Date,Close,Open,High,Low,Vol.,Change %
19-09-2025,400.4,400.1,400.4,400,304.82K,0.0005
18-09-2025,400.2,400.1,400.2,400,270.84K,0
17-09-2025,400.2,400.1,400.2,400,290.11K,0.0005
16-09-2025,400,400.1,400.1,400,303.65K,0
15-09-2025,400,400,400.1,400,245.26K,0
12-09-2025,400,400,400.1,400,288.89K,-0.0005
11-09-2025,400.2,400.1,400.2,400,281.48K,0.0005
10-09-2025,400,400.1,400.4,400,285.28K,0
09-09-2025,400,400,401.7,400,330.56K,-0.0025
08-09-2025,401,400.1,401,400.1,322.46K,0.0025
04-09-2025,400,400.1,400.2,400,305.40K,-0.0002
03-09-2025,400.1,400.3,400.4,400,288.69K,0.0003
02-09-2025,400,400.1,400.2,400,321.11K,-0.0012
01-09-2025,400.5,400,400.5,400,303.96K,0.0013
29-08-2025,400,400.3,400.8,400,599.50K,-0.0002
28-08-2025,400.1,400.7,400.7,400,310.19K,-0.0015
27-08-2025,400.7,400,400.7,400,295.10K,0.0018
26-08-2025,400,400.1,400.1,400,255.72K,-0.0002
25-08-2025,400.1,400,400.1,400,294.26K,0.0003
22-08-2025,400,400.1,400.1,400,264.61K,-0.0005
21-08-2025,400.2,400,400.2,400,298.54K,0
20-08-2025,400.2,400.1,400.3,400,290.65K,-0.0002
19-08-2025,400.3,400.2,400.3,400,132.52K,0.0002
18-08-2025,400.2,400,400.2,400,237.26K,0.0005
15-08-2025,400,400.2,400.2,400,95.52K,0
14-08-2025,400,400.2,400.6,400,209.00K,-0.0005
13-08-2025,400.2,400,400.4,400,279.99K,0
12-08-2025,400.2,400.2,400.6,400,291.86K,0
11-08-2025,400.2,400.2,400.5,400.1,285.67K,0
08-08-2025,400.2,400.2,400.6,400,302.84K,0.0002
07-08-2025,400.1,401.7,401.7,400,312.56K,-0.0047
06-08-2025,402,400.4,402,400.1,354.19K,0.004
05-08-2025,400.4,400.3,400.8,400.1,289.34K,0.0007
04-08-2025,400.1,400,400.9,400,311.82K,-0.0005
01-08-2025,400.3,401,401,400,301.34K,-0.002
31-07-2025,401.1,401,401.1,400,304.13K,0.0002
30-07-2025,401,400,401,400,303.75K,0.0005
29-07-2025,400.8,400,401,400,300.92K,0.0017
28-07-2025,400.1,400,400.1,400,128.00K,0
25-07-2025,400.1,400,400.4,400,241.90K,0
24-07-2025,400.1,400,401.1,400,220.42K,0.0003
23-07-2025,400,400.4,401.4,400,421.49K,0
22-07-2025,400,400.1,400.2,400,358.82K,0
21-07-2025,400,400.2,400.9,400,517.96K,0
18-07-2025,400,400.1,400.5,400,316.03K,-0.0002
17-07-2025,400.1,400.1,400.2,400,312.56K,0.0003
16-07-2025,400,400.4,400.5,400,314.99K,-0.0012
15-07-2025,400.5,400.7,400.8,400.1,308.50K,-0.0007
14-07-2025,400.8,400.8,400.9,400.2,295.65K,-0.0005
11-07-2025,401,400.4,401.2,400.2,295.12K,0.0017
10-07-2025,400.3,401,401,400.1,302.14K,-0.0017
09-07-2025,401,400.2,401,400,280.71K,0.0025
08-07-2025,400,400.1,400.9,400,269.61K,0
07-07-2025,400,400.1,400.5,400,279.39K,0
04-07-2025,400,400.9,400.9,400,316.85K,-0.0002
03-07-2025,400.1,400.9,401.2,400.1,307.10K,-0.002
02-07-2025,400.9,401,401.8,400.5,314.49K,-0.0002
01-07-2025,401,401,401.9,400.2,305.77K,-0.0022
30-06-2025,401.9,400.1,401.9,400.1,308.98K,0.0025
26-06-2025,400.9,400.9,401.9,400.2,311.51K,0
25-06-2025,400.9,400,401.5,400,302.91K,0.0022
24-06-2025,400,400.1,400.3,400,321.19K,0
23-06-2025,400,400,400.2,400,298.75K,0
20-06-2025,400,401.1,401.4,400,432.60K,-0.0025
19-06-2025,401,401.1,401.1,401,366.94K,-0.0002
18-06-2025,401.1,401,401.4,401,516.83K,0.0002
17-06-2025,401,401.1,401.3,401,422.94K,-0.0015
16-06-2025,401.6,401.1,402.4,401,402.11K,0.0015
13-06-2025,401,401.2,401.5,401,506.88K,-0.0025
12-06-2025,402,401.3,402,401,496.55K,0
11-06-2025,402,401.2,402,401.1,559.97K,0.0005
10-06-2025,401.8,401.2,402,401,517.51K,0.002
09-06-2025,401,401.2,402,401,411.60K,-0.0002
04-06-2025,401.1,401.1,401.2,401,464.79K,0
03-06-2025,401.1,401.1,401.2,401,423.09K,-0.0002
02-06-2025,401.2,401.2,401.2,401,412.60K,0.0005
30-05-2025,401,401.1,401.5,401,413.40K,0
29-05-2025,401,401.1,401.8,401,414.71K,0
28-05-2025,401,401.1,401.8,401,428.14K,-0.0002
27-05-2025,401.1,402,402,401.1,443.52K,-0.0022
26-05-2025,402,401.7,402.6,401,464.16K,0.0005
23-05-2025,401.8,402,403.8,401,505.18K,-0.0025
22-05-2025,402.8,402,403,401.1,471.85K,0.0017
21-05-2025,402.1,401.9,402.1,401,434.33K,0.0002
20-05-2025,402,401.8,402.1,401,513.25K,0.0005
19-05-2025,401.8,401.1,402,401,622.43K,0.002
16-05-2025,401,401.2,401.2,401,457.11K,0
15-05-2025,401,401.1,401.8,401,490.63K,0
14-05-2025,401,401.2,401.4,401,559.53K,-0.0002
13-05-2025,401.1,401.1,403,401.1,573.03K,0.0002
12-05-2025,401,401.2,404,401,486.97K,0
09-05-2025,401,402,402,401,459.66K,-0.0025
08-05-2025,402,401.5,402.4,401.5,608.84K,0.0012
07-05-2025,401.5,401.2,403.2,401,670.84K,-0.0007
06-05-2025,401.8,401.1,402.1,401.1,616.75K,-0.0002
05-05-2025,401.9,402.4,402.5,401.1,506.22K,-0.0015
02-05-2025,402.5,402.7,402.7,401.8,594.66K,0
01-05-2025,402.5,401.1,404.8,401.1,619.25K,0.0037
30-04-2025,401,402.5,405,401,478.55K,-0.0037
29-04-2025,402.5,403,403,402.2,828.89K,-0.0007
28-04-2025,402.8,401.7,403,401.2,568.13K,0.0027
25-04-2025,401.7,401.9,401.9,401.2,540.83K,-0.0007
24-04-2025,402,401.3,402,401.1,597.74K,0.0025
23-04-2025,401,401.1,401.2,401,405.94K,0
22-04-2025,401,401.2,401.2,401,400.96K,-0.0005
21-04-2025,401.2,402,402,401,378.43K,-0.0002
18-04-2025,401.3,402,402,401.1,427.48K,0.0002
17-04-2025,401.2,401.1,402,401,491.16K,0.0005
16-04-2025,401,402.9,402.9,401,477.98K,-0.0025
15-04-2025,402,401.1,403,401.1,618.76K,0.0002
14-04-2025,401.9,401.7,401.9,401,694.55K,0.0002
11-04-2025,401.8,401.6,401.8,401,448.56K,0.0002
10-04-2025,401.7,401.5,405,401,639.44K,0.0017
09-04-2025,401,401.2,401.8,401,574.34K,-0.0002
08-04-2025,401.1,405,405,401.1,593.11K,0.0002
07-04-2025,401,401.4,403,401,406.72K,-0.0169
04-04-2025,407.9,404.9,411,404.2,568.55K,0.0074
03-04-2025,404.9,403.1,405,401.1,587.25K,0.0035
02-04-2025,403.5,402,406.2,401,444.64K,0.0062
28-03-2025,401,401.1,402,401,492.83K,-0.0002
27-03-2025,401.1,401.5,401.8,401,510.59K,-0.001
26-03-2025,401.5,401,401.5,401,488.40K,0.0012
25-03-2025,401,401.1,401.1,401,684.63K,0
24-03-2025,401,401,401.3,400.9,434.11K,0
21-03-2025,401,401.6,401.7,401,740.67K,-0.0012
20-03-2025,401.5,401.6,401.6,401.5,583.82K,0
19-03-2025,401.5,401.6,401.6,401.5,885.32K,-0.001
18-03-2025,401.9,401.6,401.9,401.5,648.98K,0.0007
17-03-2025,401.6,401.5,401.6,401.5,441.30K,0.0002
14-03-2025,401.5,401.5,401.7,401.5,470.07K,0
13-03-2025,401.5,404,404,401.5,654.34K,-0.0062
12-03-2025,404,401.7,404,401.5,815.57K,0.006
11-03-2025,401.6,401.5,401.7,401.5,357.55K,0.0002
10-03-2025,401.5,401.6,401.7,401.5,339.68K,0
07-03-2025,401.5,401.6,401.8,401.5,353.45K,-0.0002
06-03-2025,401.6,401.6,402,401.4,341.34K,0.0002
05-03-2025,401.5,401.6,401.7,401.5,345.72K,-0.0005
04-03-2025,401.7,401.5,401.7,401.5,349.20K,0.0005
03-03-2025,401.5,402.1,402.2,401.5,407.44K,-0.0037
28-02-2025,403,401.6,403,401.5,324.02K,0.0037
27-02-2025,401.5,401.6,401.6,401.5,406.29K,-0.0002
26-02-2025,401.6,401.6,401.7,401.5,421.52K,-0.0002
25-02-2025,401.7,401.6,401.7,401.5,369.28K,0.0005
24-02-2025,401.5,401.6,401.9,401.4,390.63K,0
21-02-2025,401.5,401.7,402.2,401.5,415.87K,-0.0002
20-02-2025,401.6,401.7,403,401.5,410.58K,0.0002
19-02-2025,401.5,401.6,401.6,401.5,341.89K,-0.0002
18-02-2025,401.6,401.6,401.7,401.5,280.14K,0.0002
17-02-2025,401.5,401.5,401.6,401.4,243.85K,-0.0002
14-02-2025,401.6,401.6,402,401.5,356.68K,0.0002
13-02-2025,401.5,401.6,401.7,401.5,384.06K,-0.0007
12-02-2025,401.8,401.7,402.1,401.5,346.76K,0.0007
11-02-2025,401.5,401.5,401.7,401.4,410.56K,0
10-02-2025,401.5,401.6,402.9,401.5,324.00K,0
07-02-2025,401.5,401.7,402,401.5,468.66K,0
06-02-2025,401.5,401.6,402,401.5,423.98K,0
05-02-2025,401.5,401.6,401.9,401,379.99K,0
04-02-2025,401.5,401.6,401.8,401.4,201.14K,0
03-02-2025,401.5,403,403,401.5,265.32K,-0.0037
31-01-2025,403,401.9,403,401.9,381.71K,0.0027
30-01-2025,401.9,402,402,401.7,314.99K,0
29-01-2025,401.9,402.1,402.2,401.9,398.11K,0
28-01-2025,401.9,401.9,403,401.9,421.33K,0
27-01-2025,401.9,402.1,403.5,401.9,479.71K,0
24-01-2025,401.9,402,403.2,401.9,452.53K,0
23-01-2025,401.9,402,404.5,401.9,411.16K,0
22-01-2025,401.9,402.1,404.2,401.9,435.24K,-0.0005
21-01-2025,402.1,402.9,403.5,401.9,446.81K,-0.0035
20-01-2025,403.5,403,403.5,401.9,416.58K,0.004
17-01-2025,401.9,401.9,404,401.9,405.78K,0
16-01-2025,401.9,402,403,401.9,425.13K,0
15-01-2025,401.9,402.1,402.4,401.9,452.37K,0
14-01-2025,401.9,402.1,402.1,401.9,456.11K,-0.0002
