Date,Close,Open,High,Low,Vol.,Change %
22-09-2025,6.21,6.25,6.25,6.18,4.16M,-0.0064
19-09-2025,6.25,6.25,6.28,6.21,6.26M,0
18-09-2025,6.25,6.37,6.37,6.21,2.74M,-0.0032
17-09-2025,6.27,6.37,6.43,6.2,3.80M,-0.0157
16-09-2025,6.37,6.38,6.45,6.36,2.24M,0.0047
15-09-2025,6.34,6.36,6.38,6.3,3.32M,0.0079
12-09-2025,6.29,6.32,6.32,6.26,4.16M,0.008
11-09-2025,6.24,6.32,6.32,6.18,2.02M,-0.0079
10-09-2025,6.29,6.3,6.36,6.27,2.47M,-0.0016
09-09-2025,6.3,6.3,6.39,6.26,3.42M,0
08-09-2025,6.3,6.36,6.44,6.27,7.27M,-0.0094
04-09-2025,6.36,6.4,6.42,6.36,3.16M,-0.0031
03-09-2025,6.38,6.61,6.61,6.38,6.33M,-0.0274
02-09-2025,6.56,6.51,6.58,6.42,3.16M,0.0108
01-09-2025,6.49,6.6,6.6,6.44,2.97M,-0.0167
29-08-2025,6.6,6.67,6.71,6.57,2.41M,-0.006
28-08-2025,6.64,6.77,6.81,6.64,3.37M,-0.0163
27-08-2025,6.75,6.77,6.78,6.72,2.83M,-0.003
26-08-2025,6.77,6.71,6.77,6.63,18.23M,0.0104
25-08-2025,6.7,6.85,6.87,6.7,5.95M,-0.0219
22-08-2025,6.85,6.74,6.85,6.65,4.58M,0.0118
21-08-2025,6.77,6.72,6.78,6.7,1.97M,0.0104
20-08-2025,6.7,6.71,6.74,6.65,2.48M,0
19-08-2025,6.7,6.73,6.77,6.62,4.25M,-0.0015
18-08-2025,6.71,6.78,6.96,6.65,9.51M,-0.0074
15-08-2025,6.76,6.6,6.76,6.56,12.67M,0.0305
14-08-2025,6.56,6.41,6.58,6.41,8.54M,0.0413
13-08-2025,6.3,6.5,6.5,6.26,7.74M,-0.0187
12-08-2025,6.42,6.6,6.62,6.42,3.83M,-0.0258
11-08-2025,6.59,6.56,6.59,6.5,5.35M,0.017
08-08-2025,6.48,6.59,6.59,6.46,2.68M,-0.0092
07-08-2025,6.54,6.61,6.65,6.54,3.67M,-0.0091
06-08-2025,6.6,6.52,6.62,6.5,5.89M,0.0169
05-08-2025,6.49,6.44,6.54,6.42,4.92M,0.0156
04-08-2025,6.39,6.38,6.39,6.27,4.23M,0.0095
